open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-03-24 01:00:00,70679.2,70891.53,70278.46,70516.57,730.30371,2026-03-24 01:59:59.999,51552200.8812983,152627,308.74452,21816620.7817592,0
2026-03-24 02:00:00,70516.57,70698.0,70369.46,70453.37,431.98798,2026-03-24 02:59:59.999,30466918.5198214,128346,205.69315,14508573.5049276,0
2026-03-24 03:00:00,70453.38,70583.36,70404.54,70542.9,380.97532,2026-03-24 03:59:59.999,26853045.4181122,97350,172.38846,12150363.6186865,0
2026-03-24 04:00:00,70542.9,70741.64,70247.91,70372.44,474.91642,2026-03-24 04:59:59.999,33468232.6465762,107640,175.45645,12371213.0628466,0
2026-03-24 05:00:00,70372.45,70374.38,70119.06,70283.85,641.69358,2026-03-24 05:59:59.999,45070852.1777721,119949,266.09114,18688182.3223497,0
2026-03-24 06:00:00,70283.84,70572.83,70253.23,70541.38,850.05748,2026-03-24 06:59:59.999,59847193.0241473,108110,378.02709,26619988.5759306,0
2026-03-24 07:00:00,70541.39,71400.0,70488.0,71291.7,1722.67702,2026-03-24 07:59:59.999,122202364.7720414,189414,887.04183,62925660.2913005,0
2026-03-24 08:00:00,71291.7,71349.1,70850.11,70964.15,725.27631,2026-03-24 08:59:59.999,51536886.8034741,138808,272.54121,19369114.7328218,0
2026-03-24 09:00:00,70964.16,71368.61,70851.77,71316.97,511.50447,2026-03-24 09:59:59.999,36378678.1720985,116743,281.85817,20044216.707058,0
2026-03-24 10:00:00,71316.98,71328.59,71078.09,71272.87,680.81546,2026-03-24 10:59:59.999,48487843.3837303,112622,342.16617,24367909.3386176,0
2026-03-24 11:00:00,71272.87,71327.26,70964.94,71157.77,560.33228,2026-03-24 11:59:59.999,39860053.2040581,136770,332.95753,23688403.8372548,0
2026-03-24 12:00:00,71157.77,71177.66,70860.18,70956.48,460.8181,2026-03-24 12:59:59.999,32706339.98693,124099,179.4111,12735276.0467451,0
2026-03-24 13:00:00,70956.48,71059.59,69968.02,70100.46,1729.62355,2026-03-24 13:59:59.999,121812661.2865382,345875,577.98892,40716365.1359618,0
2026-03-24 14:00:00,70100.46,70462.91,69507.34,69869.93,1973.02189,2026-03-24 14:59:59.999,137890893.5955135,430775,889.24156,62155540.4132767,0
2026-03-24 15:00:00,69869.93,70255.37,69770.85,69873.04,1419.67177,2026-03-24 15:59:59.999,99418672.6364159,298117,737.0458,51641483.9551931,0
2026-03-24 16:00:00,69873.04,70001.92,69340.08,69476.87,889.76128,2026-03-24 16:59:59.999,61969153.6234048,227733,363.29246,25312450.2842311,0
2026-03-24 17:00:00,69476.88,69512.73,68923.07,69238.43,1294.24297,2026-03-24 17:59:59.999,89493283.2408422,285284,596.57536,41258895.7118761,0
2026-03-24 18:00:00,69238.44,69746.4,69168.64,69430.24,808.06583,2026-03-24 18:59:59.999,56104059.1422348,188647,415.35515,28839523.9017511,0
2026-03-24 19:00:00,69430.25,69700.0,69277.04,69377.33,547.42601,2026-03-24 19:59:59.999,38041000.3137931,119554,291.68374,20271124.5992134,0
2026-03-24 20:00:00,69377.33,70295.54,69296.15,70093.19,1018.45154,2026-03-24 20:59:59.999,71265625.7702262,228994,614.78938,43017177.5597564,0
2026-03-24 21:00:00,70093.19,70400.0,69901.39,70332.93,686.65263,2026-03-24 21:59:59.999,48165041.6047448,120092,349.77796,24535457.4607182,0
2026-03-24 22:00:00,70332.93,70586.86,70140.5,70316.96,686.91503,2026-03-24 22:59:59.999,48341500.0978618,118774,301.35997,21206478.6072687,0
2026-03-24 23:00:00,70316.96,70832.54,70270.0,70556.74,741.40211,2026-03-24 23:59:59.999,52365262.111118,115993,443.44777,31317890.9743199,0
2026-03-25 00:00:00,70556.74,71100.28,70476.9,70840.75,784.33083,2026-03-25 00:59:59.999,55558208.5882136,134813,502.33008,35589394.2421477,0
2026-03-25 01:00:00,70840.75,70977.35,70629.72,70677.18,624.19197,2026-03-25 01:59:59.999,44180116.4216041,115626,260.26494,18421771.1374917,0
2026-03-25 02:00:00,70677.19,70781.39,70490.77,70531.09,582.86416,2026-03-25 02:59:59.999,41164058.803275,98739,250.20651,17675693.6599431,0
2026-03-25 03:00:00,70531.1,70808.37,70408.0,70716.7,513.15296,2026-03-25 03:59:59.999,36204302.0549294,97953,230.92617,16297850.4176786,0
2026-03-25 04:00:00,70716.7,70977.49,70703.83,70968.64,623.46021,2026-03-25 04:59:59.999,44155662.4616214,84444,328.28151,23248831.1160674,0
2026-03-25 05:00:00,70968.64,71345.0,70940.0,71117.66,850.19172,2026-03-25 05:59:59.999,60511179.891698,126750,450.52945,32062003.6599914,0
2026-03-25 06:00:00,71117.65,71260.0,70984.67,70991.83,934.75878,2026-03-25 06:59:59.999,66521455.9124621,92794,489.62896,34847125.8625538,0
2026-03-25 07:00:00,70991.82,71270.11,70891.31,70926.88,470.72474,2026-03-25 07:59:59.999,33448859.2927902,91663,178.64052,12696641.7981437,0
2026-03-25 08:00:00,70926.88,71503.94,70800.0,71248.39,1150.83138,2026-03-25 08:59:59.999,82017365.871218,161877,621.09047,44300954.397789,0
2026-03-25 09:00:00,71248.4,71415.12,71101.99,71345.91,598.42707,2026-03-25 09:59:59.999,42657853.0904566,102886,332.0932,23676487.5634605,0
2026-03-25 10:00:00,71345.91,71641.91,71291.69,71501.39,485.22161,2026-03-25 10:59:59.999,34669351.3219426,102655,272.39305,19462451.1319591,0
2026-03-25 11:00:00,71501.4,72026.09,71470.49,71678.97,1053.03231,2026-03-25 11:59:59.999,75596857.4576908,164755,618.72832,44432099.6635312,0
